tag_id,scaffold_id,terminus,num_msa_hits,af2_rmsd,af2_fix_rmsd,af3_rmsd,af3_fix_rmsd,esm_rmsd,esm_argmax_rmsd
6mbm,no_scaffold,,0,1.4514524936676025,,0.681188702583313,,1.2041847705841064,1.1348278522491455
6mbm,GFP,N,0,3.291919469833374,3.5524916648864746,1.7745634317398071,2.4883694648742676,5.838878631591797,1.3079437017440796
6mbm,GFP,C,0,1.3163789510726929,1.5905860662460327,1.2901264429092407,1.3055009841918945,1.2979352474212646,2.247579574584961
6mbm,SUMO,N,0,1.273101568222046,1.3101640939712524,1.1954786777496338,1.3198033571243286,1.172061800956726,1.2763705253601074
6mbm,SUMO,C,0,1.3688991069793701,1.1833199262619019,3.818303108215332,1.0535043478012085,1.2847038507461548,1.4700788259506226
6mbm,GST,N,0,1.243319034576416,1.3062143325805664,1.1782149076461792,1.2044895887374878,,1.1619542837142944
6mbm,GST,C,0,1.452223300933838,1.6518785953521729,1.469293236732483,1.4500333070755005,1.2709583044052124,1.4824118614196777
6mbm,MBP,N,0,6.215950012207031,1.4274863004684448,4.060022354125977,1.4598370790481567,1.1959278583526611,1.5034639835357666
6mbm,MBP,C,0,1.228618860244751,1.2309699058532715,1.209591269493103,1.2092680931091309,,1.274872899055481
2lg6,no_scaffold,,640,2.2652854919433594,,2.5386202335357666,,2.2464325428009033,2.4823620319366455
2lg6,GFP,N,640,2.652268648147583,2.4403793811798096,9.394379615783691,2.3182170391082764,2.6346116065979004,11.553916931152344
2lg6,GFP,C,640,2.150012731552124,2.3803415298461914,2.129225730895996,1.9926623106002808,2.571760416030884,3.378983974456787
2lg6,SUMO,N,640,7.826319694519043,2.3324508666992188,12.702166557312012,2.442690849304199,13.140674591064453,9.724722862243652
2lg6,SUMO,C,640,2.4202167987823486,2.478167772293091,8.084504127502441,2.878619909286499,12.4194917678833,11.043586730957031
2lg6,GST,N,640,2.389666795730591,2.436497449874878,8.684618949890137,2.210825204849243,13.590200424194336,15.420167922973633
2lg6,GST,C,640,3.0717411041259766,2.3120038509368896,10.52475643157959,2.058206558227539,16.381507873535156,8.835951805114746
2lg6,MBP,N,640,2.0492687225341797,2.1065094470977783,11.336240768432617,2.122140645980835,14.153800964355469,5.865882873535156
2lg6,MBP,C,640,2.1355645656585693,2.38897967338562,13.338507652282715,2.210937261581421,9.347552299499512,9.240219116210938
2bn6,no_scaffold,,1807,2.5517401695251465,,2.8624532222747803,,3.374802827835083,2.9937238693237305
2bn6,GFP,N,1807,3.4432923793792725,3.5236754417419434,3.569582223892212,3.69038724899292,3.584892988204956,2.969703435897827
2bn6,GFP,C,1807,3.3585586547851562,3.512226104736328,2.9392290115356445,2.885808229446411,2.821587085723877,2.7353827953338623
2bn6,SUMO,N,1807,2.8040287494659424,2.695769786834717,3.2316277027130127,3.153108835220337,3.576744318008423,3.2268266677856445
2bn6,SUMO,C,1807,2.5103096961975098,3.207333564758301,2.4654979705810547,2.437767267227173,2.779916524887085,2.9214842319488525
2bn6,GST,N,1807,3.6638293266296387,3.5315260887145996,3.1819515228271484,3.2045795917510986,3.816478729248047,3.450669288635254
2bn6,GST,C,1807,3.1020236015319824,2.8985650539398193,3.3464698791503906,2.8600986003875732,3.062577247619629,2.691164493560791
2bn6,MBP,N,1807,3.5669119358062744,3.5580101013183594,3.547574996948242,3.5657830238342285,,2.9817538261413574
